Date,Expiry,Series Code,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of Contracts,Notional Turnover,Open Interest,Change in OI,Underlying Value
31/12/2024,03-Jan-2025,SENSEX2510375500CE,75500.00,2849.00,2899.00,2799.05,2849.05,,2688.1500000,2,31.34,0,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510376000CE,76000.00,1991.10,2500.00,1755.50,2380.50,,2380.5000000,74,1155.36,14,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510376200CE,76200.00,1596.00,2131.00,1596.00,2131.00,,2012.4000000,4,62.36,3,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510376300CE,76300.00,1660.20,1970.50,1641.15,1970.50,,1918.8000000,2,39.04,0,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510376400CE,76400.00,0.00,0.00,0.00,1826.25,,1826.2500000,0,0.00,50,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510376500CE,76500.00,1579.65,2032.85,1348.80,1930.50,,1930.5000000,213,3328.84,41,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510376600CE,76600.00,1430.00,1838.00,1430.00,1825.95,,1825.9500000,59,923.25,43,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510376700CE,76700.00,1368.65,1800.00,1195.95,1738.75,,1738.7500000,50,789.75,54,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510376800CE,76800.00,1270.00,1741.90,1118.45,1633.30,,1633.3000000,63,991.26,52,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510376900CE,76900.00,1276.70,1580.35,1024.65,1558.55,,1558.5500000,87,1359.56,55,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510377000CE,77000.00,1268.75,1600.00,941.00,1464.45,,1464.4500000,2327,36399.09,277,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510377100CE,77100.00,1060.45,1531.10,873.70,1386.85,,1386.8500000,318,4982.67,83,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510377200CE,77200.00,986.50,1468.50,808.80,1318.00,,1318.0000000,669,10475.49,153,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510377300CE,77300.00,1087.70,1385.10,745.00,1222.15,,1222.1500000,1856,29039.45,271,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510377400CE,77400.00,940.60,1303.30,685.95,1149.90,,1149.9000000,3354,52515.88,321,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510377500CE,77500.00,865.50,1214.15,627.25,1074.10,,1074.1000000,21845,342233.50,783,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510377600CE,77600.00,782.60,1149.00,573.15,998.20,,998.2000000,23780,372560.95,312,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510377700CE,77700.00,750.05,1078.10,523.05,921.20,,921.2000000,48717,763774.96,683,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510377800CE,77800.00,731.05,1001.80,475.95,856.00,,856.0000000,105140,1649800.55,1008,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510377900CE,77900.00,647.45,932.70,431.05,785.20,,785.2000000,119764,1880968.25,1215,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510378000CE,78000.00,599.95,862.00,391.00,719.95,,719.9500000,240973,3788318.68,4220,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510378100CE,78100.00,689.65,798.95,354.05,658.10,,658.1000000,122657,1930090.97,1584,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510378200CE,78200.00,633.65,735.00,319.20,599.85,,599.8500000,157305,2476797.91,3028,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510378300CE,78300.00,478.45,675.80,287.90,545.65,,545.6500000,116228,1831352.80,2568,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510378400CE,78400.00,425.00,616.45,259.10,494.70,,494.7000000,87551,1380359.31,1882,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510378500CE,78500.00,453.30,563.25,232.75,444.05,,444.0500000,192045,3029760.00,8403,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510378600CE,78600.00,299.65,510.10,208.95,399.65,,399.6500000,89768,1417344.12,2952,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510378700CE,78700.00,294.35,462.60,187.55,358.05,,358.0500000,89413,1412926.21,2970,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510378800CE,78800.00,379.30,417.90,168.00,319.05,,319.0500000,80337,1270611.65,2534,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510378900CE,78900.00,317.00,375.50,149.20,282.60,,282.6000000,72191,1142817.57,1881,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510379000CE,79000.00,279.05,335.55,133.60,250.30,,250.3000000,174346,2762412.61,16059,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510379100CE,79100.00,200.00,299.50,119.70,221.50,,221.5000000,64783,1027435.59,2193,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510379200CE,79200.00,163.75,265.95,107.00,194.75,,194.7500000,57964,920163.39,2304,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510379300CE,79300.00,150.00,235.90,95.05,170.15,,170.1500000,51763,822545.32,2822,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510379400CE,79400.00,100.00,208.20,84.80,149.10,,149.1000000,54047,859703.82,1742,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510379500CE,79500.00,98.05,183.00,74.35,129.70,,129.7000000,125025,1990783.24,6177,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510379600CE,79600.00,114.10,160.60,64.00,112.90,,112.9000000,60250,960437.03,1544,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510379700CE,79700.00,112.25,140.60,56.05,97.85,,97.8500000,50947,813041.34,2327,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510379800CE,79800.00,65.00,121.35,50.10,84.55,,84.5500000,59777,955021.00,2721,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510379900CE,79900.00,86.30,105.50,40.90,72.65,,72.6500000,57968,927133.51,2163,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510380000CE,80000.00,69.75,90.70,35.20,62.65,,62.6500000,231154,3701256.87,12708,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510380100CE,80100.00,42.00,78.00,29.10,53.85,,53.8500000,43717,700817.55,1949,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510380200CE,80200.00,38.00,67.30,26.20,45.85,,45.8500000,40811,654987.79,2186,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510380300CE,80300.00,36.55,57.20,21.90,39.55,,39.5500000,46938,754194.12,3485,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510380400CE,80400.00,34.65,48.60,18.80,33.60,,33.6000000,36878,593254.97,2199,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510380500CE,80500.00,29.00,41.20,15.80,28.30,,28.3000000,93272,1502220.18,8505,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510380600CE,80600.00,21.70,34.75,14.85,24.25,,24.2500000,24657,397602.23,2543,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510380700CE,80700.00,23.65,29.30,12.00,20.75,,20.7500000,19949,322069.97,2458,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510380800CE,80800.00,18.45,25.00,10.60,17.85,,17.8500000,18510,299190.40,1611,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510380900CE,80900.00,12.65,21.10,9.40,15.25,,15.2500000,17876,289299.00,1846,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510381000CE,81000.00,13.95,18.35,8.65,13.55,,13.5500000,84389,1367335.24,14648,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510381100CE,81100.00,14.05,15.85,8.40,11.95,,11.9500000,14224,230748.14,1797,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510381200CE,81200.00,10.00,13.70,6.55,10.55,,10.5500000,16146,262254.72,2648,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510381300CE,81300.00,10.60,11.95,6.70,9.60,,9.6000000,13555,220438.89,2762,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510381400CE,81400.00,7.35,10.85,7.35,8.90,,8.9000000,11335,184562.31,1784,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510381500CE,81500.00,4.55,10.20,4.55,8.50,,8.5000000,65240,1063519.80,10235,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510381600CE,81600.00,6.00,9.40,4.65,7.70,,7.7000000,9380,153096.09,1757,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510381700CE,81700.00,5.15,9.05,5.10,7.40,,7.4000000,9169,149843.05,1549,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510381800CE,81800.00,6.60,10.00,5.70,7.05,,7.0500000,7522,123078.45,1128,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510381900CE,81900.00,6.60,8.10,5.40,6.80,,6.8000000,9769,160037.15,708,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510382000CE,82000.00,5.00,7.70,5.00,6.50,,6.5000000,64224,1053359.61,14143,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510382100CE,82100.00,5.00,7.80,4.30,6.35,,6.3500000,14516,238378.48,3338,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510382200CE,82200.00,6.05,7.35,4.50,6.35,,6.3500000,6930,113937.41,1877,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510382300CE,82300.00,5.00,6.90,4.30,5.85,,5.8500000,3694,60815.52,541,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510382400CE,82400.00,5.60,6.70,3.50,5.55,,5.5500000,2947,48577.90,352,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510382500CE,82500.00,4.35,5.95,3.70,5.15,,5.1500000,31342,517173.59,7382,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510382600CE,82600.00,3.50,6.25,3.50,5.30,,5.3000000,2781,45953.03,276,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510382700CE,82700.00,4.50,5.80,3.25,5.10,,5.1000000,3285,54345.15,578,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510382800CE,82800.00,3.00,5.95,3.00,5.00,,5.0000000,3207,53119.07,594,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510382900CE,82900.00,4.00,6.95,3.30,5.00,,5.0000000,2982,49452.53,1308,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510383000CE,83000.00,3.95,5.60,3.00,4.90,,4.9000000,80493,1336260.72,22635,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510383100CE,83100.00,2.85,6.40,2.75,4.80,,4.8000000,2138,35535.27,102,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510383200CE,83200.00,3.45,6.10,1.55,4.70,,4.7000000,457,7613.16,28,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510383300CE,83300.00,5.70,5.70,2.70,4.35,,4.3500000,528,8796.90,31,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510383400CE,83400.00,3.05,3.40,2.90,3.30,,3.3000000,89,1484.57,34,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510383500CE,83500.00,1.50,4.80,1.50,4.15,,4.1500000,20408,340836.54,4208,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510384000CE,84000.00,2.20,4.50,1.85,3.85,,3.8500000,17374,291903.48,3764,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510384100CE,84100.00,2.75,4.95,2.25,4.00,,4.0000000,387,6518.00,34,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510384500CE,84500.00,1.80,4.80,1.80,3.65,,3.6500000,4970,83996.21,719,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510384800CE,84800.00,2.95,4.65,2.05,2.95,,2.9500000,917,15561.43,32,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510385000CE,85000.00,1.80,3.90,1.50,3.20,,3.2000000,9996,169946.32,3042,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510386000CE,86000.00,1.35,4.65,1.35,3.30,,3.3000000,11760,202279.55,3127,-,78139.01
31/12/2024,03-Jan-2025,SENSEX2510386100CE,86100.00,1.80,4.00,1.45,2.95,,2.9500000,5174,89099.02,1016,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511077600CE,77600.00,889.00,1260.35,839.10,1181.30,,1181.3000000,206,3237.54,139,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511077700CE,77700.00,814.60,1191.15,694.30,1126.25,,1126.2500000,368,5786.35,158,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511078000CE,78000.00,754.20,1045.00,564.95,928.60,,928.6000000,2683,42278.74,509,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511078200CE,78200.00,600.00,914.05,482.30,804.75,,804.7500000,891,14049.93,234,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511078500CE,78500.00,500.00,731.40,380.00,642.45,,642.4500000,3103,49047.16,721,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511078600CE,78600.00,525.00,638.30,473.20,580.70,,580.7000000,105,1662.24,170,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511078700CE,78700.00,450.00,626.05,434.45,542.25,,542.2500000,183,2899.04,184,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511079000CE,79000.00,300.00,497.50,241.80,418.95,,418.9500000,4194,66551.21,1714,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511079100CE,79100.00,261.75,451.45,214.70,381.70,,381.7000000,475,7544.88,288,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511079200CE,79200.00,250.00,393.00,226.00,347.55,,347.5500000,232,3688.98,202,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511079300CE,79300.00,214.85,363.00,191.25,315.30,,315.3000000,434,6907.73,283,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511079400CE,79400.00,290.10,320.90,166.00,286.40,,286.4000000,246,3918.45,211,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511079500CE,79500.00,265.90,312.90,140.10,261.25,,261.2500000,1744,27805.83,702,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511079600CE,79600.00,246.75,276.85,207.65,237.90,,237.9000000,36,574.87,170,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511080000CE,80000.00,130.00,185.50,82.55,153.20,,153.2000000,4153,66559.39,2002,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511080500CE,80500.00,89.75,105.80,45.05,83.25,,83.2500000,961,15486.89,515,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511081000CE,81000.00,57.95,57.95,32.40,46.60,,46.6000000,895,14506.93,613,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511081500CE,81500.00,95.95,95.95,15.60,33.10,,33.1000000,24,391.36,22,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511081800CE,81800.00,20.00,40.00,16.05,24.30,,24.3000000,77,1260.08,167,-,78139.01
31/12/2024,10-Jan-2025,SENSEX2511082000CE,82000.00,19.95,25.00,10.00,21.25,,21.2500000,135,2214.57,125,-,78139.01
31/12/2024,17-Jan-2025,SENSEX2511781000CE,81000.00,160.00,160.00,160.00,160.00,,160.0000000,4,64.93,4,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN77600CE,77600.00,0.00,0.00,0.00,2163.10,,2163.1000000,0,0.00,0,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN78000CE,78000.00,2000.00,2000.00,1650.00,1650.00,,1938.0500000,3,55.95,2,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN78100CE,78100.00,0.00,0.00,0.00,1884.20,,1884.2000000,0,0.00,0,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN78200CE,78200.00,1900.00,1900.00,1900.00,1900.00,,1831.3000000,3,48.06,3,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN78300CE,78300.00,1800.00,1800.00,1700.00,1700.00,,1779.3500000,1,24.02,1,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN78400CE,78400.00,0.00,0.00,0.00,1728.40,,1728.4000000,0,0.00,0,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN78500CE,78500.00,1600.00,1600.00,1500.00,1500.00,,1500.0000000,3,56.01,5,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN78700CE,78700.00,0.00,0.00,0.00,1581.30,,1581.3000000,0,0.00,1,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN78800CE,78800.00,0.00,0.00,0.00,1534.15,,1534.1500000,0,0.00,0,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN78900CE,78900.00,0.00,0.00,0.00,1488.00,,1488.0000000,0,0.00,3,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN79000CE,79000.00,0.00,0.00,0.00,1442.75,,1442.7500000,0,0.00,2,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN79100CE,79100.00,0.00,0.00,0.00,1398.50,,1398.5000000,0,0.00,0,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN79200CE,79200.00,0.00,0.00,0.00,1355.20,,1355.2000000,0,0.00,2,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN79300CE,79300.00,0.00,0.00,0.00,1312.80,,1312.8000000,0,0.00,1,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN79400CE,79400.00,0.00,0.00,0.00,1271.40,,1271.4000000,0,0.00,1,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN80000CE,80000.00,500.00,600.00,500.00,600.00,,1042.0000000,1,16.11,2,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN80400CE,80400.00,0.00,0.00,0.00,906.85,,906.8500000,0,0.00,0,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN80500CE,80500.00,0.00,0.00,0.00,875.25,,875.2500000,0,0.00,0,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN80600CE,80600.00,0.00,0.00,0.00,844.40,,844.4000000,0,0.00,3,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN81000CE,81000.00,0.00,0.00,0.00,729.30,,729.3000000,0,0.00,5,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN82000CE,82000.00,0.00,0.00,0.00,494.30,,494.3000000,0,0.00,0,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN82300CE,82300.00,0.00,0.00,0.00,437.05,,437.0500000,0,0.00,1,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN82800CE,82800.00,0.00,0.00,0.00,353.65,,353.6500000,0,0.00,2,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN84000CE,84000.00,0.00,0.00,0.00,205.75,,205.7500000,0,0.00,1,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN84400CE,84400.00,0.00,0.00,0.00,169.95,,169.9500000,0,0.00,0,-,78139.01
31/12/2024,31-Jan-2025,SENSEX25JAN86100CE,86100.00,0.00,0.00,0.00,71.05,,71.0500000,0,0.00,11,-,78139.01
30/12/2024,03-Jan-2025,SENSEX2510376400CE,76400.00,2032.10,2093.45,1982.45,2028.75,,2028.7500000,100,1568.69,50,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510376500CE,76500.00,2422.60,2422.60,1920.00,2040.55,,2040.5500000,11,180.71,3,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510376600CE,76600.00,1853.70,1882.35,1834.55,1872.60,,1791.9000000,96,1506.34,50,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510376700CE,76700.00,1765.20,1885.50,1735.55,1815.45,,1815.4500000,96,1514.40,50,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510376800CE,76800.00,1760.80,1790.05,1641.65,1790.05,,1790.0500000,88,1381.28,50,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510376900CE,76900.00,2029.15,2037.50,1571.70,1676.05,,1676.0500000,115,1815.87,50,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510377000CE,77000.00,1800.00,2233.00,1400.00,1559.70,,1559.7000000,305,4800.67,85,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510377100CE,77100.00,2000.00,2219.95,1374.30,1476.35,,1476.3500000,139,2192.89,55,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510377200CE,77200.00,1752.80,1770.00,1250.00,1443.25,,1443.2500000,211,3315.53,133,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510377300CE,77300.00,1236.90,1347.00,1181.00,1255.30,,1255.3000000,343,5388.25,276,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510377400CE,77400.00,1571.50,1706.55,1130.00,1197.00,,1197.0000000,390,6141.74,280,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510377500CE,77500.00,1300.00,1825.10,1011.00,1146.15,,1146.1500000,1229,19372.46,330,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510377600CE,77600.00,1191.70,1642.15,949.60,1054.25,,1054.2500000,290,4572.88,58,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510377700CE,77700.00,1110.00,1280.00,882.80,996.60,,996.6000000,337,5302.92,88,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510377800CE,77800.00,985.20,1370.95,818.05,893.80,,893.8000000,918,14455.33,122,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510377900CE,77900.00,949.60,1457.40,755.85,831.55,,831.5500000,1346,21208.95,106,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510378000CE,78000.00,995.55,1400.00,695.10,769.35,,769.3500000,18073,284980.92,1416,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510378100CE,78100.00,901.90,1311.15,636.50,695.50,,695.5000000,14793,233170.38,664,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510378200CE,78200.00,852.75,1220.60,584.65,641.60,,641.6000000,37479,591090.50,1343,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510378300CE,78300.00,810.10,1155.65,531.10,589.30,,589.3000000,43895,692928.85,1573,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510378400CE,78400.00,804.30,1074.35,481.00,534.20,,534.2000000,54715,864730.51,1874,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510378500CE,78500.00,750.00,1009.55,432.60,484.60,,484.6000000,153919,2434808.27,5760,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510378600CE,78600.00,700.00,936.00,390.00,436.15,,436.1500000,140481,2224204.78,2415,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510378700CE,78700.00,626.40,865.85,348.60,392.65,,392.6500000,153654,2434934.90,3331,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510378800CE,78800.00,550.00,797.60,312.30,348.40,,348.4000000,115549,1832342.73,2312,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510378900CE,78900.00,510.75,734.90,277.80,312.95,,312.9500000,94223,1495430.10,2458,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510379000CE,79000.00,483.10,667.95,245.60,276.15,,276.1500000,197960,3143894.79,12101,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510379100CE,79100.00,400.00,609.90,217.45,242.60,,242.6000000,73964,1175740.86,2289,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510379200CE,79200.00,331.65,552.70,190.60,212.45,,212.4500000,82661,1314727.32,2275,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510379300CE,79300.00,270.05,497.55,168.00,188.20,,188.2000000,61647,981255.76,1849,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510379400CE,79400.00,271.15,446.55,147.20,164.35,,164.3500000,50905,811022.05,1448,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510379500CE,79500.00,255.00,400.00,127.40,143.65,,143.6500000,110008,1753958.77,5402,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510379600CE,79600.00,203.75,355.70,111.55,124.95,,124.9500000,48343,771468.62,1551,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510379700CE,79700.00,177.65,315.40,96.70,107.70,,107.7000000,43603,696515.19,1855,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510379800CE,79800.00,150.05,277.20,84.00,93.25,,93.2500000,46427,742307.32,2498,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510379900CE,79900.00,134.45,244.15,73.00,81.35,,81.3500000,43898,702610.15,1761,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510380000CE,80000.00,128.00,214.70,63.00,69.65,,69.6500000,156131,2501538.44,8977,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510380100CE,80100.00,112.60,186.15,54.35,59.85,,59.8500000,35687,572392.78,1474,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510380200CE,80200.00,103.35,161.10,46.00,51.25,,51.2500000,37290,598755.27,1552,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510380300CE,80300.00,82.00,139.10,39.00,43.85,,43.8500000,41970,674646.29,2362,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510380400CE,80400.00,71.10,120.20,32.85,37.50,,37.5000000,35214,566680.21,2611,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510380500CE,80500.00,58.85,102.75,28.15,32.65,,32.6500000,86747,1397504.48,5589,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510380600CE,80600.00,52.85,87.70,20.20,28.20,,28.2000000,26430,426289.68,1400,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510380700CE,80700.00,47.00,75.50,17.00,24.45,,24.4500000,28367,458048.90,1972,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510380800CE,80800.00,43.65,66.60,15.30,21.10,,21.1000000,23275,376287.88,1039,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510380900CE,80900.00,39.65,55.00,13.85,18.20,,18.2000000,27959,452543.72,1569,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510381000CE,81000.00,31.85,46.70,12.95,15.70,,15.7000000,101172,1639483.44,10144,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510381100CE,81100.00,25.60,39.95,10.35,14.05,,14.0500000,21365,346632.41,1584,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510381200CE,81200.00,16.95,34.25,7.60,12.10,,12.1000000,17730,288000.13,1157,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510381300CE,81300.00,21.95,28.85,8.50,11.40,,11.4000000,18955,308275.87,1443,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510381400CE,81400.00,11.25,27.60,7.10,9.90,,9.9000000,15271,248651.05,1242,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510381500CE,81500.00,15.00,25.15,7.15,9.00,,9.0000000,66838,1089618.39,8541,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510381600CE,81600.00,13.70,19.25,5.35,7.70,,7.7000000,11184,182553.48,1300,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510381700CE,81700.00,7.55,16.60,5.10,7.55,,7.5500000,9670,158034.53,803,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510381800CE,81800.00,6.05,14.30,5.10,6.60,,6.6000000,3893,63696.32,655,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510381900CE,81900.00,9.45,19.00,4.60,6.50,,6.5000000,7542,123549.67,605,-,78248.13
30/12/2024,03-Jan-2025,SENSEX2510382000CE,82000.00,9.50,15.00,4.60,6.10,,6.1000000,52839,866637.96,10299,-,78248.13
